id;label;y;x;size
306;Ryki;4.789726027;21.929;2
307;Rypin;2.615342466;19.410;2
308;Rzeszów;7.20739726;21.999;2
309;Sandomierz;6.234246575;21.740;2
310;Sanok;7.935739726;22.209;2
311;Sępólno Krajeńskie;2.037534247;17.530;2
312;Siedlce;3.983835616;22.280;2
313;Siemianowice Śląskie;6.780123288;19.049;2
314;Siemiatycze;3.60369863;22.870;2
315;Sieradz;4.849027397;18.740;2
316;Sierpc;2.933136986;19.650;2
317;Skarzysko-Kamienna;5.580410959;20.879;2
318;Skawina;7.313835616;19.830;2
319;Skierniewice;4.303150685;20.139;2
320;Skoczów;7.586013699;18.799;2
321;Skwierzyna;3.345205479;15.489;2
322;Sławno;0.669041096;16.670;2
323;Słubice;3.694931507;14.569;2
324;Słupca;3.799849315;17.879;2
325;Słupsk;0.485054795;17.019;2
326;Sochaczew;3.891082192;20.229;2
327;Sokółka;2.112041096;23.500;2
328;Sokołow Podlaski;3.61890411;22.239;2
329;Solec Kujawski;2.615342466;18.230;2
330;Sopot;0.532191781;18.559;2
331;Sosnowiec;6.857671233;19.120;2
332;Stalowa Wola;6.415191781;22.049;2
333;Starachowice;5.670123288;21.070;2
334;Stargard Szczeciński;2.203273973;15.020;2
335;Starogard Gdański;1.245328767;18.520;2
336;Stary Sącz;7.935739726;20.640;2
337;Staszów;6.43039726;21.180;2
338;Strzegom;5.82369863;16.350;2
339;Strzelce Krajenskie;2.919452055;15.529;2
340;Strzelce Opolskie;6.491219178;18.299;2
341;Strzelin;6.095876712;17.069;2
342;Sucha Beskidzka;7.662041096;19.590;2
343;Suchedniów;5.656438356;20.830;2
344;Sulechów;4.103958904;15.620;2
345;Sulecin;3.556561644;15.109;2
346;Sulejówek;3.860671233;21.270;2
347;Suwałki;1.033972603;22.940;2
348;Swarzędz;3.61890411;17.069;2
349;Syców;5.305191781;17.709;2
350;Szamotuły;3.313273973;16.580;2
351;Szczecin;2.066424658;14.529;2
352;Szczecinek;1.640671233;16.689;2
353;Szczytno;1.870273973;20.990;2
354;Szprotawa;4.896164384;15.520;2
355;Sztum;1.429315068;18.959;2
356;Szubin;2.705054795;17.719;2
357;Szydłowiec;5.413150685;20.859;2
358;Śrem;4.103958904;17.010;2
359;Środa Wielkopolska;3.906287671;17.270;2
360;Świdnica;5.990958904;16.489;2
361;Świdnik;5.428356164;22.790;2
362;Świdwin;1.549438356;15.779;2
363;Świebodzice;5.974232877;16.329;2
364;Świebodzin;3.846986301;15.529;2
365;Świecie;2.112041096;18.440;2
366;Świętochłowice;6.840945205;18.940;2
367;Świnoujście;1.338082192;14.249;2
368;Tarnobrzeg;6.384780822;21.680;2
369;Tarnów;7.268219178;20.990;2
370;Tarnowskie Góry;6.583972603;18.860;2
371;Tczew;1.049178082;18.779;2
372;Tomaszów Lubelski;6.583972603;23.419;2
373;Tomaszów Mazowiecki;4.940260274;20.030;2
374;Toruń;2.689849315;18.609;2
375;Trzcianka;2.659438356;16.459;2
